,shoe_title,shoe_ID,shoe_color,release_date
0,"AIR JORDAN 1 RETRO HIGH OG ""ROYAL TOE""",555088 041 , black/white/game royal/black , 5/9/20
1,"AIR JORDAN 1 HIGH OG ""COURT PURPLE""",555088 500 , court purple/white/black , 4/11/20
2,"AIR JORDAN 1 RETRO HIGH OG ""OBSIDIAN, UNC""",555088 140 , sail/obsidian-university blue , 8/31/19
3,"AIR JORDAN 1 RETRO HIGH OG ""GAME ROYAL""",555088 403 , game royal/summit white-black , 3/23/18
4,AIR JORDAN 1 RETRO HIGH OG GS,575441 041 , black/white/game royal/black , 5/9/20
5,"AIR JORDAN 1 RETRO HIGH OG ""PINE GREEN 2.0""",555088 030 , black/white-gym red-pine green , 2/29/20
6,"AIR JORDAN 1 RETRO HIGH OG ""CHICAGO""",555088 101 , white/black-varsity red , 5/29/15
7,"AIR JORDAN 1 RETRO HIGH OG ""SHATTERED BACKBOARD 3.0""",555088 028 , black/pale vanilla-starfish , 10/26/19
8,"AIR JORDAN 1 RETRO HIGH OG ""SHADOW""",555088 013 , black/white-medium grey , 4/14/18
9,"AIR JORDAN 1 HIGH OG TS SP ""TRAVIS SCOTT""",cd4487 100 , sail/dark mocha-university red-black , 5/11/19
10,"WMNS AIR JORDAN 1 HIGH OG 'UNC TO CHICAGO' ""UNC TO CHICAGO""",cd0461 046 , black/dark powder blue/gym red , 2/13/20
11,"WMNS AIR JORDAN 1 RETRO HIGH OG ""BLUE CHILL""",cd0461 401 , obsidian/blue chill-white , 2/14/19
12,"AIR JORDAN 1 RETRO HIGH OG ""BRED TOE""",555088 610 , gym red/summit white-black , 2/24/18
13,"AIR JORDAN 1 RETRO HIGH OG ""BANNED 2016 RELEASE""",555088 001 , black/varsity red-white , 9/2/16
14,"AIR JORDAN 1 RETRO HIGH ZOOM ""RACER BLUE""",ck6637 104 , white/racer blue/white , 3/14/20
15,"AIR JORDAN 1 RETRO HIGH OG ""CRIMSON TINT""",555088 081 , black/crimson tint-hyper pink-white , 4/11/19
16,"AIR JORDAN 1 HIGH OG FEARLESS ""FEARLESS""",ck5666 100 , white/university blue-varsity red-black , 11/2/19
17,"AIR JORDAN 1 X OFF-WHITE NRG ""OFF WHITE UNC""",aq0818 148 , white/dark powder blue-cone , 5/23/18
18,"AIR JORDAN 1 RETRO HIGH OG ""BLOODLINE""",555088 062 , black/gym red/white , 11/29/19
19,"AIR JORDAN 1 RETRO HIGH OG ""TURBO GREEN""",555088 311 , turbo green/white-light smoke grey-sail , 2/15/19
20,WMNS AIR JORDAN 1 MID SE,cw1140 100 , white/black/lightbulb/team orange , 4/9/20
21,"AIR JORDAN 1 RETRO HIGH OG ""GYM RED""",555088 061 , black/white-sail-gym red , 6/28/19
22,"AIR JORDAN 1 RETRO HIGH OG ""ROYAL 2017 RELEASE""",555088 007 , black/royal-white , 4/1/17
23,"AIR JORDAN 1 RETRO HIGH OG GS ""OBSIDIAN""",575441 140 , sail/obsidian/university blue , 8/31/19
24,"WMNS AIR JORDAN 1 RETRO HIGH OG ""TWIST, PONY""",cd0461 007 , black/black-metallic gold-white , 5/9/19
25,"AIR JORDAN 1 LOW OG SP-T ""TRAVIS SCOTT""",cq4277 001 , black/dark mocha-university red-sail , 7/19/19
26,"WMNS AIR JORDAN 1HIGH OG ""SATIN BLACK TOE""",cd0461 016 , black/white-varsity red , 8/17/19
27,"AIR JORDAN 1 RETRO HIGH OG GS ""PINE GREEN 2.0""",575441 030 , black/pine green/white/gym red , 2/29/20
28,AIR JORDAN 1 LOW,ao9944 441 , university blue/white , 4/5/20
29,"AIR JORDAN 1 HIGH 85 ""CHICAGO 2020""",bq4422 600 , varsity red/summit white/black , 2/8/20
